Goal2kImprovement,2kWattImprovement,ATCompleted,SeasonMeters,WBLiftCount,BoatPlacementImprovement
0,-1,0,1,0,0
2,1,2,2,1,1
1,0,2,1,0,0
0,-1,1,1,0,1
0,-1,0,0,0,0
0,-1,1,2,2,0
1,-1,0,0,0,0
2,1,1,1,0,0
0,-1,0,0,0,0
1,1,2,2,0,1
2,-1,0,2,0,0
1,33,2,2,0,0
1,0,2,1,0,0
2,1,2,1,2,1
0,0,2,1,0,2
1,0,2,1,1,0
2,?,0,1,1,0
0,-1,0,0,0,-1
2,-1,0,0,1,1
0,0,2,2,0,0
2,1,1,1,0,0
0,0,13,1,0,0
1,-1,1,1,0,-1
1,1,1,0,0,1
2,0,2,2,0,0
2,?,0,0,2,0
1,?,0,0,0,0
1,-1,2,1,0,-1
1,-1,1,2,0,0
0,-1,0,1,0,-1
2,-1,0,0,0,0
2,0,2,2,0,0
