Goal2kImprovement,2kWattImprovement,ATCompleted,SeasonMeters,WBLiftCount,BoatPlacementImprovement
-5.3,?,5.5,165289,7,0
45.8,39.8,16,522750,10,0
25.8,5.1,14,319000,4,0
12.6,-23.6,10,159000,0,1
4.2,-65.9,3,38000,0,0
-3.7,-44.6,10.5,446209,15,0
18.7,?,0,33669,3,0
74.9,65.9,11,144000,0,0
0,-8,5,12000,0,1.5
38.6,30.4,14,496000,11,-0.5
65.2,?,3,62140.2,2,0
31.1,33,14,464645,11,0.5
23,11.9,15,518280,8,0
102.4,114.5,15,321458,28,1
12.3,20.3,12.5,523428,6,2
36.3,15.1,13,297000,10,0.5
64.9,?,1,106500,12,0
16.6,-42.3,4,22000,7,-1
47.7,-16.3,4,92000,10,1
15.8,13.9,15,582936,0,0
48,44,11.5,365750,8,0
15.8,3.9,13,297928,2,0
25.8,-22.3,10,216000,2,-0.5
35.4,38.7,11,84000,0,1
42.7,20.8,12.5,564500,0,0
47.7,?,5,32261,14,0
23.2,?,4.5,108000,0,0
20.4,-41.7,14.5,315500,2,-0.5
22.5,-15.5,10,696383,3,0
9.2,-100.9,5,346000,8,0
39.3,-23,2,98000,9,0
40.1,21.1,16,789500,2,0
